Date,Open,High,Low,Close,Volume,Market Cap
Sep-03-2020,11388.86788,11435.02012,10103.86218,10215.66996,41460895660,2.03872E+11
Sep-02-2020,11924.49257,11945.58265,11231.6795,11399.14897,40828722690,2.13803E+11
Sep-01-2020,11650.161,12044.02119,11551.45166,11921.75492,36030623507,2.19185E+11
Aug-31-2020,11715.37986,11764.46311,11578.52232,11655.9987,28817684113,2.1579E+11
Aug-30-2020,11471.66127,11704.63524,11468.27535,11697.79437,25043705473,2.14429E+11
Aug-29-2020,11502.40289,11551.26249,11437.27082,11485.10157,24334715747,2.12233E+11
Aug-28-2020,11320.18426,11504.09768,11290.09589,11496.83022,32588672017,2.11037E+11
Aug-27-2020,11462.85202,11549.16864,11188.79322,11311.2402,32828842214,2.09654E+11
Aug-26-2020,11338.90819,11519.64724,11275.78933,11463.56797,36827771242,2.10613E+11
Aug-25-2020,11756.69784,11761.36045,11166.88423,11361.55482,31693401989,2.12634E+11
Aug-24-2020,11648.11234,11822.06015,11601.43091,11763.76171,27473249748,2.16678E+11
Aug-23-2020,11680.51631,11707.26344,11537.63262,11653.40729,25832518309,2.14623E+11
Aug-22-2020,11534.75309,11687.6584,11403.80202,11681.15793,34813826010,2.13531E+11
Aug-21-2020,11855.74486,11874.02169,11511.7181,11530.91923,31263106135,2.16936E+11
Aug-20-2020,11742.5261,11878.7376,11689.23604,11866.59519,33930368814,2.17782E+11
Aug-19-2020,11969.19437,12007.45379,11638.94295,11732.40557,40374416081,2.17876E+11
Aug-18-2020,12272.57863,12364.51586,11892.03044,11961.9946,42796629889,2.24501E+11
Aug-17-2020,11892.9928,12394.34502,11787.6261,12285.93663,29928688831,2.22199E+11
Aug-16-2020,11857.11334,11912.90806,11706.3526,11892.68092,27103038829,2.18602E+11
Aug-15-2020,11755.70816,11966.48828,11755.70816,11865.38305,31579519762,2.19092E+11
Aug-14-2020,11765.96545,11830.53028,11657.28758,11742.87637,37984318895,2.16719E+11
Aug-13-2020,11567.06672,11773.08846,11301.37014,11763.00914,35020081228,2.1311E+11
Aug-12-2020,11397.03945,11607.74082,11238.64735,11576.81427,42464680751,2.11561E+11
Aug-11-2020,11885.4514,11927.49191,11185.18212,11395.40582,37908458366,2.14724E+11
Aug-10-2020,11666.67308,12031.87065,11666.67308,11867.86649,36150631838,2.19302E+11
Aug-09-2020,11758.32334,11784.90545,11539.76259,11648.08317,27135096720,2.15278E+11
Aug-08-2020,11592.01689,11802.1359,11541.2703,11728.58523,31999650196,2.15439E+11
Aug-07-2020,11777.53837,11885.86315,11392.40966,11583.15927,34481886917,2.16166E+11
Aug-06-2020,11738.74293,11895.07183,11574.34382,11780.28537,37150220757,2.16738E+11
Aug-05-2020,11196.17762,11769.26961,11133.72852,11732.92795,31972193672,2.11293E+11
Aug-04-2020,11228.30377,11391.63352,11075.23021,11194.55461,33863638682,2.07439E+11
Aug-03-2020,11070.05969,11465.33959,10998.67973,11246.25548,35112734941,2.0758E+11
Aug-02-2020,11797.81633,12078.65812,10983.14938,11073.60766,52188598141,2.09079E+11
Aug-01-2020,11336.03219,11848.39451,11243.91329,11800.38987,41384071142,2.13903E+11
Jul-31-2020,11100.38336,11425.72023,10978.05278,11334.58547,32449292483,2.06321E+11
Jul-30-2020,11084.61689,11157.27194,10894.50579,11109.23106,36055471756,2.03287E+11
Jul-29-2020,10905.32826,11282.25087,10839.39092,11073.29788,39989495153,2.04224E+11
Jul-28-2020,11016.82397,11204.30926,10644.9739,10895.73396,63042796645,2.02237E+11
Jul-27-2020,9921.922095,11339.80296,9920.003523,10996.5366,42213334217,1.91974E+11
Jul-26-2020,9697.515159,10073.2253,9652.913998,9917.359474,28010517869,1.81129E+11
Jul-25-2020,9547.494177,9716.605724,9534.582156,9686.120716,21037125904,1.77236E+11
Jul-24-2020,9600.61154,9629.070858,9477.722155,9545.046629,22466772027,1.761E+11
Jul-23-2020,9523.658037,9627.169019,9474.580562,9592.963304,23101832608,1.75708E+11
Jul-22-2020,9384.63728,9524.321572,9306.723329,9518.901022,19256793736,1.72605E+11
Jul-21-2020,9162.179688,9419.40045,9160.240988,9385.174346,18926176905,1.71487E+11
Jul-20-2020,9207.29326,9212.380926,9151.486581,9164.069789,13940188804,1.69212E+11
Jul-19-2020,9169.952206,9213.285054,9119.533813,9207.816996,11947063843,1.68779E+11
Jul-18-2020,9156.427377,9196.230068,9129.375055,9170.802681,12785910296,1.68882E+11
Jul-17-2020,9135.106244,9176.80158,9094.505948,9155.773355,15270491656,1.68469E+11
Jul-16-2020,9200.648755,9220.828575,9058.920622,9137.239203,16582669315,1.68514E+11
Jul-15-2020,9253.721451,9269.704971,9182.048444,9206.764838,14662526150,1.7008E+11
Jul-14-2020,9242.639687,9273.110343,9155.100178,9254.204474,16272167656,1.70007E+11
Jul-13-2020,9297.137398,9320.456358,9217.609515,9247.107825,14936740774,1.71003E+11
Jul-12-2020,9230.979937,9313.256344,9187.861567,9286.726085,11952544232,1.70438E+11
Jul-11-2020,9276.580057,9283.619996,9195.588709,9231.3201,13061147820,1.70216E+11
Jul-10-2020,9239.746148,9288.71267,9141.271506,9278.447734,16354705418,1.69589E+11
Jul-09-2020,9428.606014,9429.390147,9201.801168,9240.366176,17978271912,1.71942E+11
Jul-08-2020,9257.371172,9453.376947,9241.34023,9420.350155,16333234232,1.72117E+11
Jul-07-2020,9339.715306,9363.358154,9220.037597,9252.35518,17246307334,1.70776E+11
Jul-06-2020,9077.942345,9342.540316,9053.655688,9342.540316,16794093512,1.69605E+11
Jul-05-2020,9131.495458,9137.447369,8957.5603,9072.772592,12978699503,1.66899E+11
Jul-04-2020,9069.815386,9178.1391,9053.808489,9127.518467,12619370983,1.6743E+11
Jul-03-2020,9081.573979,9117.536881,9059.787936,9065.577985,16093715203,1.67474E+11
Jul-02-2020,9228.082821,9253.257937,8991.466116,9084.054479,16368750495,1.68814E+11
Jul-01-2020,9136.040257,9283.111145,9102.358834,9225.668161,15043273940,1.69228E+11
Jun-30-2020,9179.411116,9190.720681,9076.059608,9145.560607,15421116289,1.68532E+11
Jun-29-2020,9126.119999,9219.392814,9042.933317,9180.159026,14838631119,1.67935E+11
